league_name,name,starting_at,home_team_name,away_team_name,home_team_goals,away_team_goals
Premier League,Crystal Palace vs Arsenal,5/8/2022,Crystal Palace,Arsenal,0,2
Premier League,Fulham vs Liverpool,6/8/2022,Fulham,Liverpool,2,2
Premier League,Bournemouth vs Aston Villa,6/8/2022,Bournemouth,Aston Villa,2,0
Premier League,Leeds vs Wolves,6/8/2022,Leeds,Wolves,2,1
Premier League,Newcastle vs Nottingham,6/8/2022,Newcastle,Nottingham,2,0
Premier League,Tottenham vs Southampton,6/8/2022,Tottenham,Southampton,4,1
Premier League,Everton vs Chelsea,6/8/2022,Everton,Chelsea,0,1
Premier League,Leicester vs Brentford,7/8/2022,Leicester,Brentford,2,2
Premier League,Man United vs Brighton,7/8/2022,Man United,Brighton,1,2
Premier League,West Ham vs Man City,7/8/2022,West Ham,Man City,0,2
Premier League,Aston Villa vs Everton,13/08/2022,Aston Villa,Everton,2,1
Premier League,Arsenal vs Leicester,13/08/2022,Arsenal,Leicester,4,2
Premier League,Brighton vs Newcastle,13/08/2022,Brighton,Newcastle,0,0
Premier League,Man City vs Bournemouth,13/08/2022,Man City,Bournemouth,4,0
Premier League,Southampton vs Leeds,13/08/2022,Southampton,Leeds,2,2
Premier League,Wolves vs Fulham,13/08/2022,Wolves,Fulham,0,0
Premier League,Brentford vs Man United,13/08/2022,Brentford,Man United,4,0
Premier League,Nottingham vs West Ham,14/08/2022,Nottingham,West Ham,1,0
Premier League,Chelsea vs Tottenham,14/08/2022,Chelsea,Tottenham,2,2
Premier League,Liverpool vs Crystal Palace,15/08/2022,Liverpool,Crystal Palace,1,1
Premier League,Tottenham vs Wolves,20/08/2022,Tottenham,Wolves,1,0
Premier League,Crystal Palace vs Aston Villa,20/08/2022,Crystal Palace,Aston Villa,3,1
Premier League,Everton vs Nottingham,20/08/2022,Everton,Nottingham,1,1
Premier League,Fulham vs Brentford,20/08/2022,Fulham,Brentford,3,2
Premier League,Leicester vs Southampton,20/08/2022,Leicester,Southampton,1,2
Premier League,Bournemouth vs Arsenal,20/08/2022,Bournemouth,Arsenal,0,3
Premier League,Leeds vs Chelsea,21/08/2022,Leeds,Chelsea,3,0
Premier League,West Ham vs Brighton,21/08/2022,West Ham,Brighton,0,2
Premier League,Newcastle vs Man City,21/08/2022,Newcastle,Man City,3,3
Premier League,Man United vs Liverpool,22/08/2022,Man United,Liverpool,2,1
Premier League,Southampton vs Man United,27/08/2022,Southampton,Man United,0,1
Premier League,Brentford vs Everton,27/08/2022,Brentford,Everton,1,1
Premier League,Brighton vs Leeds,27/08/2022,Brighton,Leeds,1,0
Premier League,Chelsea vs Leicester,27/08/2022,Chelsea,Leicester,2,1
Premier League,Liverpool vs Bournemouth,27/08/2022,Liverpool,Bournemouth,9,0
Premier League,Man City vs Crystal Palace,27/08/2022,Man City,Crystal Palace,4,2
Premier League,Arsenal vs Fulham,27/08/2022,Arsenal,Fulham,2,1
